06/03/20 09:26:38:348 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 33772 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 09:26:38:348 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 33772 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_abtokz
06/03/20 09:26:38:348 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 33772 | Sandbox for SLCachePath
06/03/20 09:26:41:909 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 20864 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 09:26:41:910 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 20864 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_kykmob
06/03/20 09:26:41:910 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 20864 | Sandbox for SLCachePath
06/03/20 09:27:09:563 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 492 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 09:27:09:563 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 492 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yjcruy
06/03/20 09:27:09:563 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 492 | Sandbox for SLCachePath
06/03/20 09:27:18:282 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 4620 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 09:27:18:283 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 4620 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bbidho
06/03/20 09:27:18:283 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 4620 | Sandbox for SLCachePath
06/03/20 09:39:16:498 | [INFO] |  |  |  | AGSService |  |  | 16636 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:16:499 | [INFO] |  |  |  | AGSService |  |  | 16636 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_gvrqrg
06/03/20 09:39:16:499 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 16636 | Sandbox for SLCachePath
06/03/20 09:39:17:561 | [INFO] |  |  |  | AGSService |  |  | 33584 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:17:561 | [INFO] |  |  |  | AGSService |  |  | 33584 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_jftvkh
06/03/20 09:39:17:561 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 33584 | Sandbox for SLCachePath
06/03/20 09:39:18:596 | [INFO] |  |  |  | AGSService |  |  | 16180 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:18:596 | [INFO] |  |  |  | AGSService |  |  | 16180 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_mpnbui
06/03/20 09:39:18:596 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 16180 | Sandbox for SLCachePath
06/03/20 09:39:19:636 | [INFO] |  |  |  | AGSService |  |  | 32864 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:19:636 | [INFO] |  |  |  | AGSService |  |  | 32864 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_psponj
06/03/20 09:39:19:636 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 32864 | Sandbox for SLCachePath
06/03/20 09:39:21:202 | [INFO] |  |  |  | AGSService |  |  | 24144 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:21:203 | [INFO] |  |  |  | AGSService |  |  | 24144 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_wnmyqk
06/03/20 09:39:21:203 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 24144 | Sandbox for SLCachePath
06/03/20 09:39:22:362 | [INFO] |  |  |  | AGSService |  |  | 31352 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:22:362 | [INFO] |  |  |  | AGSService |  |  | 31352 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_zpgejl
06/03/20 09:39:22:362 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 31352 | Sandbox for SLCachePath
06/03/20 09:39:23:422 | [INFO] |  |  |  | AGSService |  |  | 18588 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:23:422 | [INFO] |  |  |  | AGSService |  |  | 18588 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_czirbl
06/03/20 09:39:23:422 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 18588 | Sandbox for SLCachePath
06/03/20 09:39:24:465 | [INFO] |  |  |  | AGSService |  |  | 33468 | *********** AGS Service Launched = 7.0.0.37 ************
06/03/20 09:39:24:466 | [INFO] |  |  |  | AGSService |  |  | 33468 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_gkcwme
